landmark_id,category
120509,http://commons.wikimedia.org/wiki/Category:Huis_Bartolotti
73205,"http://commons.wikimedia.org/wiki/Category:Begijnhof,_Amsterdam"
112036,http://commons.wikimedia.org/wiki/Category:Beurs_van_Berlage
113010,http://commons.wikimedia.org/wiki/Category:Amsterdam_Central_station
160303,http://commons.wikimedia.org/wiki/Category:De_Bazel
87237,http://commons.wikimedia.org/wiki/Category:Oude_Kerk_(Amsterdam)
200159,http://commons.wikimedia.org/wiki/Category:East_India_House_(Amsterdam)
42838,http://commons.wikimedia.org/wiki/Category:Felix_Meritis
105461,"http://commons.wikimedia.org/wiki/Category:Haarlemmerpoort,_Amsterdam"
181963,http://commons.wikimedia.org/wiki/Category:Hollandsche_Manege
20420,http://commons.wikimedia.org/wiki/Category:Hollandsche_Schouwburg
148923,http://commons.wikimedia.org/wiki/Category:Montelbaanstoren
89319,http://commons.wikimedia.org/wiki/Category:Noorderkerk_(Amsterdam)
21161,"http://commons.wikimedia.org/wiki/Category:Noorderkerk,_Nieuw-Amsterdam"
190190,http://commons.wikimedia.org/wiki/Category:Paradiso_(Amsterdam)
75142,http://commons.wikimedia.org/wiki/Category:Portugees-Isra%C3%ABlietische_Synagoge
179579,http://commons.wikimedia.org/wiki/Category:Rembrandt_House_Museum
184025,http://commons.wikimedia.org/wiki/Category:Rijksmuseum_Amsterdam
74059,"http://commons.wikimedia.org/wiki/Category:Koepelkerk_(Stadhouderskade,_Amsterdam)"
91059,http://commons.wikimedia.org/wiki/Category:Royal_Palace_of_Amsterdam
11153,http://commons.wikimedia.org/wiki/Category:Sint-Nicolaaskerk_(Amsterdam)
166495,http://commons.wikimedia.org/wiki/Category:Scheepvaarthuis
133792,http://commons.wikimedia.org/wiki/Category:Stadsschouwburg_Amsterdam
139117,http://commons.wikimedia.org/wiki/Category:Tuschinski_Theater
21368,http://commons.wikimedia.org/wiki/Category:Vondelkerk
27248,http://commons.wikimedia.org/wiki/Category:West-Indisch_Pakhuis
179829,http://commons.wikimedia.org/wiki/Category:Zuiderkerk_(Amsterdam)
129964,"http://commons.wikimedia.org/wiki/Category:Amsterdamse_Poort,_Haarlem"
36882,http://commons.wikimedia.org/wiki/Category:Waag_(Amsterdam)
46847,http://commons.wikimedia.org/wiki/Category:Agneskerk_(Amsterdam)
74844,http://commons.wikimedia.org/wiki/Category:Oosterkerk_(Amsterdam)
57593,http://commons.wikimedia.org/wiki/Category:Oranjekerk_(Amsterdam)
26526,http://commons.wikimedia.org/wiki/Category:Thomaskerk_(Amsterdam)
79308,http://commons.wikimedia.org/wiki/Category:Tichelkerk_(Amsterdam)
54967,http://commons.wikimedia.org/wiki/Category:Muiderpoort_(Amsterdam)
71305,"http://commons.wikimedia.org/wiki/Category:Riekermolen,_Amsterdam"
74737,"http://commons.wikimedia.org/wiki/Category:De_Duif,_Amsterdam"
46120,http://commons.wikimedia.org/wiki/Category:Dominicuskerk_(Amsterdam)
34224,http://commons.wikimedia.org/wiki/Category:Entrepothaven_(Amsterdam)
96821,http://commons.wikimedia.org/wiki/Category:Jeruzalemkerk_(Amsterdam)
114307,http://commons.wikimedia.org/wiki/Category:Begijnhofkapel_(Amsterdam)
22511,"http://commons.wikimedia.org/wiki/Category:De_Gooyer,_Amsterdam"
25897,http://commons.wikimedia.org/wiki/Category:Watertoren_Amsterdam_Spaklerweg
23356,http://commons.wikimedia.org/wiki/Category:Opstandingskerk_(Amsterdam)
150368,http://commons.wikimedia.org/wiki/Category:Sint-Josephkerk_(Amsterdam)
